,AgeInDays,BlastFurnaceSlag,CementComponent,SuperplasticizerComponent,WaterComponent
67,7.0,142.5,332.5,0.0,228.0
68,28.0,190.0,190.0,0.0,228.0
69,28.0,0.0,485.0,0.0,146.0
70,3.0,189.2,374.0,10.1,170.1
71,3.0,262.2,313.3,8.6,175.5
72,3.0,106.3,425.0,16.5,153.5
73,3.0,106.3,425.0,18.6,151.4
74,3.0,93.8,375.0,23.4,185.7
75,3.0,118.8,475.0,8.9,181.1
76,3.0,117.2,469.0,6.1,137.8
77,3.0,97.1,388.6,12.1,157.9
78,3.0,0.0,531.3,6.1,141.8
79,3.0,212.5,318.8,14.3,155.7
80,3.0,94.7,401.8,11.4,147.4
81,3.0,189.0,362.6,11.6,164.9
82,3.0,282.8,323.7,10.3,183.8
83,3.0,151.2,379.5,15.9,153.9
84,3.0,200.9,286.3,11.2,144.7
85,3.0,177.0,439.0,11.1,186.0
86,3.0,189.0,389.9,22.0,145.9
87,3.0,189.0,337.9,9.5,174.9
88,7.0,189.2,374.0,10.1,170.1
89,7.0,262.2,313.3,8.6,175.5
90,7.0,106.3,425.0,16.5,153.5
91,7.0,106.3,425.0,18.6,151.4
92,7.0,93.8,375.0,23.4,185.7
93,7.0,118.8,475.0,8.9,181.1
94,7.0,117.2,469.0,6.1,137.8
95,7.0,97.1,388.6,12.1,157.9
96,7.0,0.0,531.3,6.1,141.8
97,7.0,212.5,318.8,14.3,155.7
98,7.0,94.7,401.8,11.4,147.4
99,7.0,189.0,362.6,11.6,164.9
100,7.0,282.8,323.7,10.3,183.8
101,7.0,151.2,379.5,15.9,153.9
102,7.0,200.9,286.3,11.2,144.7
103,7.0,177.0,439.0,11.1,186.0
104,7.0,189.0,389.9,22.0,145.9
105,7.0,189.0,362.6,11.6,164.9
106,7.0,189.0,337.9,9.5,174.9
107,28.0,189.2,374.0,10.1,170.1
108,28.0,262.2,313.3,8.6,175.5
109,28.0,106.3,425.0,16.5,153.5
110,28.0,106.3,425.0,18.6,151.4
111,28.0,93.8,375.0,23.4,185.7
112,28.0,118.8,475.0,8.9,181.1
113,28.0,117.2,469.0,6.1,137.8
114,28.0,97.1,388.6,12.1,157.9
115,28.0,0.0,531.3,6.1,141.8
116,28.0,212.5,318.8,14.3,155.7
117,28.0,94.7,401.8,11.4,147.4
118,28.0,189.0,362.6,11.6,164.9
119,28.0,282.8,323.7,10.3,183.8
120,28.0,151.2,379.5,15.9,153.9
121,28.0,200.9,286.3,11.2,144.7
122,28.0,177.0,439.0,11.1,186.0
123,28.0,189.0,389.9,22.0,145.9
124,28.0,189.0,337.9,9.5,174.9
125,56.0,189.2,374.0,10.1,170.1
126,56.0,262.2,313.3,8.6,175.5
127,56.0,106.3,425.0,16.5,153.5
128,56.0,106.3,425.0,18.6,151.4
129,56.0,93.8,375.0,23.4,185.7
130,56.0,118.8,475.0,8.9,181.1
131,56.0,117.2,469.0,6.1,137.8
132,56.0,97.1,388.6,12.1,157.9
133,56.0,0.0,531.3,6.1,141.8
134,56.0,212.5,318.8,14.3,155.7
135,56.0,94.7,401.8,11.4,147.4
136,56.0,189.0,362.6,11.6,164.9
137,56.0,282.8,323.7,10.3,183.8
138,56.0,151.2,379.5,15.9,153.9
139,56.0,200.9,286.3,11.2,144.7
140,56.0,177.0,439.0,11.1,186.0
141,56.0,189.0,389.9,22.0,145.9
142,56.0,189.0,337.9,9.5,174.9
143,91.0,189.2,374.0,10.1,170.1
144,91.0,262.2,313.3,8.6,175.5
145,91.0,106.3,425.0,16.5,153.5
146,91.0,106.3,425.0,18.6,151.4
147,91.0,93.8,375.0,23.4,185.7
148,91.0,118.8,475.0,8.9,181.1
149,91.0,117.2,469.0,6.1,137.8
150,91.0,97.1,388.6,12.1,157.9
151,91.0,0.0,531.3,6.1,141.8
152,91.0,212.5,318.8,14.3,155.7
153,91.0,94.7,401.8,11.4,147.4
154,91.0,189.0,362.6,11.6,164.9
155,91.0,151.2,379.5,15.9,153.9
156,91.0,200.9,286.3,11.2,144.7
157,91.0,177.0,439.0,11.1,186.0
158,91.0,189.0,389.9,22.0,145.9
159,91.0,189.0,337.9,9.5,174.9
160,3.0,0.0,222.4,4.5,189.3
161,14.0,0.0,222.4,4.5,189.3
162,28.0,0.0,222.4,4.5,189.3
163,56.0,0.0,222.4,4.5,189.3
164,100.0,0.0,222.4,4.5,189.3
165,3.0,0.0,233.8,4.6,197.9
166,14.0,0.0,233.8,4.6,197.9
167,28.0,0.0,233.8,4.6,197.9
168,56.0,0.0,233.8,4.6,197.9
169,100.0,0.0,233.8,4.6,197.9
170,3.0,0.0,194.7,7.5,165.6
171,14.0,0.0,194.7,7.5,165.6
172,28.0,0.0,194.7,7.5,165.6
173,56.0,0.0,194.7,7.5,165.6
174,100.0,0.0,194.7,7.5,165.6
175,3.0,0.0,190.7,7.8,162.1
176,14.0,0.0,190.7,7.8,162.1
177,28.0,0.0,190.7,7.8,162.1
178,56.0,0.0,190.7,7.8,162.1
179,100.0,0.0,190.7,7.8,162.1
180,3.0,0.0,212.1,5.7,180.3
181,14.0,0.0,212.1,5.7,180.3
182,28.0,0.0,212.1,5.7,180.3
183,56.0,0.0,212.1,5.7,180.3
184,100.0,0.0,212.1,5.7,180.3
185,3.0,0.0,230.0,4.6,195.5
186,14.0,0.0,230.0,4.6,195.5
187,28.0,0.0,230.0,4.6,195.5
188,56.0,0.0,230.0,4.6,195.5
189,100.0,0.0,230.0,4.6,195.5
190,3.0,0.0,190.3,9.9,161.9
191,14.0,0.0,190.3,9.9,161.9
192,28.0,0.0,190.3,9.9,161.9
193,56.0,0.0,190.3,9.9,161.9
194,100.0,0.0,190.3,9.9,161.9
195,3.0,0.0,166.1,4.5,176.5
196,14.0,0.0,166.1,4.5,176.5
197,28.0,0.0,166.1,4.5,176.5
198,56.0,0.0,166.1,4.5,176.5
199,100.0,0.0,166.1,4.5,176.5
200,3.0,42.1,168.0,5.7,185.7
201,14.0,42.1,168.0,5.7,185.7
202,28.0,42.1,168.0,5.7,185.7
203,56.0,42.1,168.0,5.7,185.7
204,100.0,42.1,168.0,5.7,185.7
205,3.0,98.1,213.7,6.9,181.7
206,14.0,98.1,213.7,6.9,181.7
207,28.0,98.1,213.7,6.9,181.7
208,56.0,98.1,213.7,6.9,181.7
209,100.0,98.1,213.7,6.9,181.7
210,3.0,98.1,213.8,6.7,181.7
211,14.0,98.1,213.8,6.7,181.7
212,28.0,98.1,213.8,6.7,181.7
213,56.0,98.1,213.8,6.7,181.7
214,100.0,98.1,213.8,6.7,181.7
215,3.0,0.0,229.7,6.1,195.2
216,14.0,0.0,229.7,6.1,195.2
217,28.0,0.0,229.7,6.1,195.2
218,56.0,0.0,229.7,6.1,195.2
219,100.0,0.0,229.7,6.1,195.2
220,3.0,0.0,238.1,7.0,186.7
221,14.0,0.0,238.1,7.0,186.7
222,28.0,0.0,238.1,7.0,186.7
223,56.0,0.0,238.1,7.0,186.7
224,100.0,0.0,238.1,7.0,186.7
225,3.0,0.0,250.0,5.5,187.4
226,14.0,0.0,250.0,5.5,187.4
227,28.0,0.0,250.0,5.5,187.4
228,56.0,0.0,250.0,5.5,187.4
229,100.0,0.0,250.0,5.5,187.4
230,3.0,0.0,212.5,8.7,159.3
231,14.0,0.0,212.5,8.7,159.3
232,28.0,0.0,212.5,8.7,159.3
233,56.0,0.0,212.5,8.7,159.3
234,100.0,0.0,212.5,8.7,159.3
235,3.0,0.0,212.6,10.4,159.4
236,14.0,0.0,212.6,10.4,159.4
237,28.0,0.0,212.6,10.4,159.4
238,56.0,0.0,212.6,10.4,159.4
239,100.0,0.0,212.6,10.4,159.4
240,3.0,0.0,212.0,7.8,159.0
241,14.0,0.0,212.0,7.8,159.0
242,28.0,0.0,212.0,7.8,159.0
243,56.0,0.0,212.0,7.8,159.0
244,100.0,0.0,212.0,7.8,159.0
245,3.0,0.0,231.8,6.7,174.0
246,14.0,0.0,231.8,6.7,174.0
247,28.0,0.0,231.8,6.7,174.0
248,56.0,0.0,231.8,6.7,174.0
249,100.0,0.0,231.8,6.7,174.0
250,3.0,0.0,251.4,5.8,188.5
251,14.0,0.0,251.4,5.8,188.5
252,28.0,0.0,251.4,5.8,188.5
253,56.0,0.0,251.4,5.8,188.5
254,100.0,0.0,251.4,5.8,188.5
255,3.0,0.0,251.4,6.4,188.5
256,14.0,0.0,251.4,6.4,188.5
257,28.0,0.0,251.4,6.4,188.5
258,56.0,0.0,251.4,6.4,188.5
259,100.0,0.0,251.4,6.4,188.5
260,3.0,0.0,181.4,7.6,169.6
261,14.0,0.0,181.4,7.6,169.6
262,28.0,0.0,181.4,7.6,169.6
263,56.0,0.0,181.4,7.6,169.6
264,100.0,0.0,181.4,7.6,169.6
265,3.0,45.2,182.0,8.2,170.2
266,14.0,45.2,182.0,8.2,170.2
267,28.0,45.2,182.0,8.2,170.2
268,56.0,45.2,182.0,8.2,170.2
269,100.0,45.2,182.0,8.2,170.2
270,3.0,42.2,168.9,10.8,158.3
271,14.0,42.2,168.9,10.8,158.3
272,28.0,42.2,168.9,10.8,158.3
273,56.0,42.2,168.9,10.8,158.3
274,100.0,42.2,168.9,10.8,158.3
275,3.0,0.0,290.4,9.4,168.1
276,14.0,0.0,290.4,9.4,168.1
277,28.0,0.0,290.4,9.4,168.1
278,56.0,0.0,290.4,9.4,168.1
279,100.0,0.0,290.4,9.4,168.1
280,3.0,0.0,277.1,11.8,160.6
281,14.0,0.0,277.1,11.8,160.6
282,28.0,0.0,277.1,11.8,160.6
283,56.0,0.0,277.1,11.8,160.6
284,100.0,0.0,277.1,11.8,160.6
285,3.0,0.0,295.7,8.9,171.5
286,14.0,0.0,295.7,8.9,171.5
287,28.0,0.0,295.7,8.9,171.5
288,56.0,0.0,295.7,8.9,171.5
289,100.0,0.0,295.7,8.9,171.5
290,3.0,0.0,251.8,12.4,146.1
291,14.0,0.0,251.8,12.4,146.1
292,28.0,0.0,251.8,12.4,146.1
293,56.0,0.0,251.8,12.4,146.1
294,100.0,0.0,251.8,12.4,146.1
295,3.0,0.0,249.1,12.8,158.1
296,14.0,0.0,249.1,12.8,158.1
297,28.0,0.0,249.1,12.8,158.1
298,56.0,0.0,249.1,12.8,158.1
299,100.0,0.0,249.1,12.8,158.1
300,3.0,0.0,252.3,14.2,146.3
301,14.0,0.0,252.3,14.2,146.3
302,28.0,0.0,252.3,14.2,146.3
303,56.0,0.0,252.3,14.2,146.3
304,100.0,0.0,252.3,14.2,146.3
305,3.0,0.0,246.8,12.0,143.3
306,14.0,0.0,246.8,12.0,143.3
307,28.0,0.0,246.8,12.0,143.3
308,56.0,0.0,246.8,12.0,143.3
309,100.0,0.0,246.8,12.0,143.3
310,3.0,0.0,275.1,9.9,159.5
311,14.0,0.0,275.1,9.9,159.5
312,28.0,0.0,275.1,9.9,159.5
313,56.0,0.0,275.1,9.9,159.5
314,100.0,0.0,275.1,9.9,159.5
315,3.0,0.0,297.2,9.5,174.8
316,14.0,0.0,297.2,9.5,174.8
317,28.0,0.0,297.2,9.5,174.8
318,56.0,0.0,297.2,9.5,174.8
319,100.0,0.0,297.2,9.5,174.8
320,3.0,0.0,213.7,10.2,154.8
321,14.0,0.0,213.7,10.2,154.8
322,28.0,0.0,213.7,10.2,154.8
323,56.0,0.0,213.7,10.2,154.8
324,100.0,0.0,213.7,10.2,154.8
325,3.0,0.0,213.5,11.7,154.6
326,14.0,0.0,213.5,11.7,154.6
327,28.0,0.0,213.5,11.7,154.6
328,56.0,0.0,213.5,11.7,154.6
329,100.0,0.0,213.5,11.7,154.6
330,3.0,97.8,277.2,11.2,160.7
331,14.0,97.8,277.2,11.2,160.7
332,28.0,97.8,277.2,11.2,160.7
333,56.0,97.8,277.2,11.2,160.7
334,100.0,97.8,277.2,11.2,160.7
335,3.0,54.6,218.2,11.9,140.8
336,14.0,54.6,218.2,11.9,140.8
337,28.0,54.6,218.2,11.9,140.8
338,56.0,54.6,218.2,11.9,140.8
339,100.0,54.6,218.2,11.9,140.8
340,3.0,53.8,214.9,9.6,155.6
341,14.0,53.8,214.9,9.6,155.6
342,28.0,53.8,214.9,9.6,155.6
343,56.0,53.8,214.9,9.6,155.6
344,100.0,53.8,214.9,9.6,155.6
345,3.0,0.0,218.9,11.3,158.5
346,14.0,0.0,218.9,11.3,158.5
347,28.0,0.0,218.9,11.3,158.5
348,56.0,0.0,218.9,11.3,158.5
349,100.0,0.0,218.9,11.3,158.5
350,3.0,0.0,376.0,0.0,214.6
351,14.0,0.0,376.0,0.0,214.6
352,28.0,0.0,376.0,0.0,214.6
353,56.0,0.0,376.0,0.0,214.6
354,100.0,0.0,376.0,0.0,214.6
355,28.0,0.0,500.0,4.0,140.0
356,28.0,0.0,475.0,1.9,142.0
357,28.0,137.0,315.0,5.9,145.0
358,28.0,0.0,505.0,0.0,195.0
359,28.0,0.0,451.0,11.3,165.0
360,28.0,0.0,516.0,8.2,162.0
361,28.0,0.0,520.0,5.2,170.0
362,28.0,0.0,528.0,6.9,185.0
363,28.0,0.0,520.0,5.2,175.0
364,28.0,0.0,385.0,20.0,158.0
365,28.0,0.0,500.1,3.0,200.0
366,28.0,50.0,450.1,3.0,200.0
367,28.0,17.2,397.0,20.8,167.0
368,28.0,17.5,333.0,17.9,167.0
369,28.0,17.6,334.0,15.3,189.0
370,28.0,0.0,405.0,0.0,175.0
371,28.0,200.0,200.0,0.0,190.0
372,28.0,0.0,516.0,8.3,162.0
373,28.0,116.0,145.0,5.7,184.0
374,28.0,128.0,160.0,6.4,182.0
375,28.0,156.0,234.0,5.9,189.0
376,28.0,180.0,250.0,9.5,159.0
377,28.0,0.0,475.0,9.5,162.0
378,28.0,190.0,285.0,7.6,163.0
379,28.0,119.0,356.0,9.0,160.0
380,28.0,180.0,275.0,10.4,162.0
381,28.0,0.0,500.0,9.0,151.0
382,3.0,0.0,165.0,0.0,163.8
383,3.0,128.5,165.0,8.1,175.1
384,3.0,129.8,178.0,3.6,179.9
385,3.0,129.9,167.4,7.8,175.5
386,3.0,13.6,172.4,4.1,156.8
387,3.0,50.1,173.5,6.5,164.8
388,3.0,75.4,167.0,7.9,164.0
389,3.0,93.4,173.8,9.7,172.3
390,3.0,0.0,190.3,9.9,166.6
391,3.0,0.0,250.0,5.3,191.8
392,3.0,0.0,213.5,11.7,159.2
393,3.0,0.0,194.7,7.5,170.2
394,3.0,0.0,251.4,5.8,192.9
395,14.0,0.0,165.0,0.0,163.8
396,14.0,128.5,165.0,8.1,175.1
397,14.0,129.8,178.0,3.6,179.9
398,14.0,129.9,167.4,7.8,175.5
399,14.0,13.6,172.4,4.1,156.8
400,14.0,50.1,173.5,6.5,164.8
401,14.0,75.4,167.0,7.9,164.0
402,14.0,93.4,173.8,9.7,172.3
403,14.0,0.0,190.3,9.9,166.6
404,14.0,0.0,250.0,5.3,191.8
405,14.0,0.0,213.5,11.7,159.2
406,14.0,0.0,194.7,7.5,170.2
407,14.0,0.0,251.4,5.8,192.9
408,28.0,0.0,165.0,0.0,163.8
409,28.0,128.5,165.0,8.1,175.1
410,28.0,129.8,178.0,3.6,179.9
411,28.0,129.9,167.4,7.8,175.5
412,28.0,13.6,172.4,4.1,156.8
413,28.0,50.1,173.5,6.5,164.8
414,28.0,75.4,167.0,7.9,164.0
415,28.0,93.4,173.8,9.7,172.3
416,28.0,0.0,190.3,9.9,166.6
417,28.0,0.0,250.0,5.3,191.8
418,28.0,0.0,213.5,11.7,159.2
419,28.0,0.0,194.7,7.5,170.2
420,28.0,0.0,251.4,5.8,192.9
421,56.0,0.0,165.0,0.0,163.8
422,56.0,128.5,165.0,8.1,175.1
423,56.0,129.8,178.0,3.6,179.9
424,56.0,129.9,167.4,7.8,175.5
425,56.0,13.6,172.4,4.1,156.8
426,56.0,50.1,173.5,6.5,164.8
427,56.0,75.4,167.0,7.9,164.0
428,56.0,93.4,173.8,9.7,172.3
429,56.0,0.0,190.3,9.9,166.6
430,56.0,0.0,250.0,5.3,191.8
431,56.0,0.0,213.5,11.7,159.2
432,56.0,0.0,194.7,7.5,170.2
433,56.0,0.0,251.4,5.8,192.9
434,100.0,0.0,165.0,0.0,163.8
435,100.0,128.5,165.0,8.1,175.1
436,100.0,129.8,178.0,3.6,179.9
437,100.0,129.9,167.4,7.8,175.5
438,100.0,13.6,172.4,4.1,156.8
439,100.0,50.1,173.5,6.5,164.8
440,100.0,75.4,167.0,7.9,164.0
441,100.0,93.4,173.8,9.7,172.3
442,100.0,0.0,190.3,9.9,166.6
443,100.0,0.0,250.0,5.3,191.8
444,100.0,0.0,213.5,11.7,159.2
445,100.0,0.0,194.7,7.5,170.2
446,100.0,0.0,251.4,5.8,192.9
447,28.0,24.0,446.0,11.6,162.0
448,28.0,24.0,446.0,11.6,162.0
449,28.0,24.0,446.0,11.6,162.0
450,28.0,24.0,446.0,10.3,162.0
451,3.0,24.0,446.0,11.6,162.0
452,3.0,24.0,446.0,11.6,162.0
453,3.0,24.0,446.0,11.6,162.0
454,7.0,24.0,446.0,11.6,162.0
455,7.0,24.0,446.0,11.6,162.0
456,7.0,24.0,446.0,11.6,162.0
457,56.0,24.0,446.0,11.6,162.0
458,56.0,24.0,446.0,11.6,162.0
459,56.0,24.0,446.0,11.6,162.0
460,56.0,24.0,446.0,10.3,162.0
461,28.0,20.0,387.0,14.3,157.0
462,28.0,20.0,387.0,13.9,157.0
463,28.0,20.0,387.0,11.6,157.0
464,3.0,20.0,387.0,14.3,157.0
465,3.0,20.0,387.0,13.9,157.0
466,3.0,20.0,387.0,11.6,157.0
467,7.0,20.0,387.0,14.3,157.0
468,7.0,20.0,387.0,13.9,157.0
469,7.0,20.0,387.0,11.6,157.0
470,56.0,20.0,387.0,14.3,157.0
471,56.0,20.0,387.0,13.9,157.0
472,56.0,20.0,387.0,11.6,157.0
473,28.0,19.0,355.0,13.1,145.0
474,28.0,19.0,355.0,12.3,145.0
475,28.0,26.0,491.0,3.9,210.0
476,28.0,26.0,491.0,3.9,201.0
477,3.0,26.0,491.0,3.9,210.0
478,7.0,26.0,491.0,3.9,210.0
479,56.0,26.0,491.0,3.9,210.0
480,3.0,26.0,491.0,3.9,201.0
481,7.0,26.0,491.0,3.9,201.0
482,56.0,26.0,491.0,3.9,201.0
483,28.0,22.0,424.0,8.5,178.0
484,3.0,22.0,424.0,8.5,178.0
485,28.0,22.0,424.0,8.9,168.0
486,7.0,22.0,424.0,8.5,178.0
487,56.0,22.0,424.0,8.5,178.0
488,3.0,22.0,424.0,8.9,168.0
489,7.0,22.0,424.0,8.9,168.0
490,56.0,22.0,424.0,8.9,168.0
491,28.0,11.0,202.0,1.7,206.0
492,3.0,11.0,202.0,1.7,206.0
493,7.0,11.0,202.0,1.7,206.0
494,56.0,11.0,202.0,1.7,206.0
495,28.0,15.0,284.0,5.5,179.0
496,3.0,15.0,284.0,5.5,179.0
497,7.0,15.0,284.0,5.5,179.0
498,56.0,15.0,284.0,5.5,179.0
499,28.0,19.0,359.0,10.9,154.0
500,28.0,19.0,359.0,10.9,154.0
501,3.0,19.0,359.0,10.9,154.0
502,3.0,19.0,359.0,10.9,154.0
503,7.0,19.0,359.0,10.9,154.0
504,7.0,19.0,359.0,10.9,154.0
505,56.0,19.0,359.0,10.9,154.0
506,56.0,19.0,359.0,10.9,154.0
507,28.0,0.0,436.0,0.0,218.0
508,90.0,0.0,289.0,0.0,192.0
509,3.0,0.0,289.0,0.0,192.0
510,3.0,0.0,393.0,0.0,192.0
511,90.0,0.0,393.0,0.0,192.0
512,28.0,0.0,393.0,0.0,192.0
513,28.0,0.0,480.0,0.0,192.0
514,7.0,0.0,480.0,0.0,192.0
515,90.0,0.0,480.0,0.0,192.0
516,3.0,0.0,480.0,0.0,192.0
517,3.0,0.0,333.0,0.0,192.0
518,90.0,0.0,255.0,0.0,192.0
519,7.0,0.0,255.0,0.0,192.0
520,7.0,0.0,289.0,0.0,192.0
521,28.0,0.0,255.0,0.0,192.0
522,28.0,0.0,333.0,0.0,192.0
523,7.0,0.0,333.0,0.0,192.0
524,28.0,0.0,289.0,0.0,192.0
525,90.0,0.0,333.0,0.0,192.0
526,7.0,0.0,393.0,0.0,192.0
527,3.0,0.0,255.0,0.0,192.0
528,7.0,238.2,158.8,0.0,185.7
529,7.0,20.0,239.6,0.0,185.7
530,7.0,158.8,238.2,0.0,185.7
531,28.0,272.8,181.9,0.0,185.7
532,28.0,290.2,193.5,0.0,185.7
533,7.0,170.3,255.5,0.0,185.7
534,7.0,181.9,272.8,0.0,185.7
535,28.0,20.0,239.6,0.0,185.7
536,28.0,147.2,220.8,0.0,185.7
537,28.0,0.0,397.0,0.0,185.7
538,7.0,0.0,382.5,0.0,185.7
539,7.0,316.1,210.7,0.0,185.7
540,28.0,238.2,158.8,0.0,185.7
541,7.0,0.0,295.8,0.0,185.7
542,28.0,170.3,255.5,0.0,185.7
543,7.0,135.7,203.5,0.0,185.7
544,7.0,0.0,397.0,0.0,185.7
545,28.0,0.0,381.4,0.0,185.7
546,28.0,0.0,295.8,0.0,185.7
547,28.0,342.1,228.0,0.0,185.7
548,7.0,147.2,220.8,0.0,185.7
549,28.0,210.7,316.1,0.0,185.7
550,7.0,203.5,135.7,0.0,185.7
551,28.0,0.0,238.1,0.0,185.7
552,7.0,0.0,339.2,0.0,185.7
553,28.0,203.5,135.7,0.0,185.7
554,7.0,290.2,193.5,0.0,185.7
555,28.0,135.7,203.5,0.0,185.7
556,7.0,193.5,290.2,0.0,185.7
557,7.0,272.8,181.9,0.0,185.7
558,28.0,155.5,170.3,0.0,185.7
559,28.0,316.1,210.7,0.0,185.7
560,7.0,342.1,228.0,0.0,185.7
561,28.0,193.5,290.2,0.0,185.7
562,7.0,0.0,381.4,0.0,185.7
563,28.0,158.8,238.2,0.0,185.7
564,7.0,124.1,186.2,0.0,185.7
565,28.0,0.0,339.2,0.0,185.7
566,7.0,0.0,238.1,0.0,185.7
567,28.0,0.0,252.5,0.0,185.7
568,28.0,0.0,382.5,0.0,185.7
569,7.0,0.0,252.5,0.0,185.7
570,7.0,210.7,316.1,0.0,185.7
571,28.0,124.1,186.2,0.0,185.7
572,7.0,155.5,170.3,0.0,185.7
573,28.0,181.9,272.8,0.0,185.7
574,3.0,0.0,339.0,0.0,197.0
575,7.0,0.0,339.0,0.0,197.0
576,14.0,0.0,339.0,0.0,197.0
577,28.0,0.0,339.0,0.0,197.0
578,90.0,0.0,339.0,0.0,197.0
579,28.0,0.0,339.0,0.0,197.0
580,28.0,0.0,339.0,0.0,197.0
581,3.0,0.0,236.0,0.0,194.0
582,14.0,0.0,236.0,0.0,194.0
583,28.0,0.0,236.0,0.0,194.0
584,90.0,0.0,236.0,0.0,194.0
585,28.0,0.0,236.0,0.0,193.0
586,28.0,0.0,236.0,0.0,193.0
587,14.0,0.0,277.0,0.0,191.0
588,28.0,0.0,277.0,0.0,191.0
589,3.0,0.0,277.0,0.0,191.0
590,90.0,0.0,277.0,0.0,191.0
591,28.0,0.0,277.0,0.0,191.0
592,28.0,0.0,277.0,0.0,191.0
593,3.0,0.0,254.0,0.0,198.0
594,90.0,0.0,254.0,0.0,198.0
595,28.0,0.0,254.0,0.0,198.0
596,28.0,0.0,254.0,0.0,198.0
597,28.0,0.0,307.0,0.0,193.0
598,28.0,0.0,307.0,0.0,193.0
599,3.0,0.0,307.0,0.0,193.0
600,28.0,0.0,307.0,0.0,193.0
601,90.0,0.0,307.0,0.0,193.0
602,7.0,0.0,236.0,0.0,193.0
603,7.0,0.0,200.0,0.0,180.0
604,28.0,0.0,200.0,0.0,180.0
605,7.0,0.0,225.0,0.0,181.0
606,28.0,0.0,225.0,0.0,181.0
607,7.0,0.0,325.0,0.0,184.0
608,28.0,0.0,325.0,0.0,184.0
609,7.0,0.0,275.0,0.0,183.0
610,28.0,0.0,275.0,0.0,183.0
611,7.0,0.0,300.0,0.0,184.0
612,28.0,0.0,300.0,0.0,184.0
613,7.0,0.0,375.0,0.0,186.0
614,28.0,0.0,375.0,0.0,186.0
615,28.0,0.0,400.0,0.0,187.0
616,7.0,0.0,400.0,0.0,187.0
617,7.0,0.0,250.0,0.0,182.0
618,28.0,0.0,250.0,0.0,182.0
619,7.0,0.0,350.0,0.0,186.0
620,28.0,0.0,350.0,0.0,186.0
621,7.0,305.3,203.5,0.0,203.5
622,90.0,166.8,250.2,0.0,203.5
623,90.0,236.0,157.0,0.0,192.0
624,28.0,212.0,141.3,0.0,203.5
625,3.0,250.2,166.8,0.0,203.5
626,90.0,183.9,122.6,0.0,203.5
627,3.0,122.6,183.9,0.0,203.5
628,3.0,153.0,102.0,0.0,192.0
629,90.0,153.0,102.0,0.0,192.0
630,28.0,183.9,122.6,0.0,203.5
631,28.0,250.2,166.8,0.0,203.5
